Сайт,"id цели",Название,"Тип цели",Ретаргетинг,"Способ создания","Ценность цели","Условие цели",URL
klinikaboli.ru,99357889,"Моб Форма2","по URL страницы",0,user,0,содержит,/tilda/form184468990/submitted/
klinikaboli.ru,99357934,"Консультация Десктоп Форма3","по URL страницы",0,user,0,содержит,/tilda/form42495716/submitted/
klinikaboli.ru,99358000,"Консультация Моб Форма4","по URL страницы",0,user,0,содержит,/tilda/form184472476/submitted/
klinikaboli.ru,99358009,"Консультация Десктоп Форма5","по URL страницы",0,user,0,содержит,/tilda/form43476935/submitted/
klinikaboli.ru,99358054,"Консультация Моб Форма6","по URL страницы",0,user,0,содержит,/tilda/form184473468/submitted/
klinikaboli.ru,99358120,"Цены Десктоп Форма7","по URL страницы",0,user,0,содержит,/tilda/form184372095/submitted/
klinikaboli.ru,99358123,"Цены Моб Форма8","по URL страницы",0,user,0,содержит,/tilda/form184474564/submitted/
klinikaboli.ru,99358129,"Записаться Десктоп Форма9","по URL страницы",0,user,0,содержит,/tilda/form43556791/submitted/
klinikaboli.ru,99358132,"Записаться Моб Форма10","по URL страницы",0,user,0,содержит,/tilda/form184475724/submitted/
klinikaboli.ru,99358135,"Связаться Десктоп Форма11","по URL страницы",0,user,0,содержит,/tilda/form43661934/submitted/
klinikaboli.ru,99358351,"Связаться Моб Форма12","по URL страницы",0,user,0,содержит,/tilda/form184478028/submitted/
klinikaboli.ru,194997775,"Открытие Поп-апа с госпитализацией по боли","по URL страницы",0,user,0,содержит,/tilda/popup/rec326385938/opened
klinikaboli.ru,194998219,"Заявка по Госпитализации: Головная боль","по URL страницы",0,user,0,содержит,/tilda/form326385938/submitted
klinikaboli.ru,220049020,"CRMstat: Лид",JavaScript-событие,0,user,0,совпадает,crmstat-lead
klinikaboli.ru,220049026,"CRMstat: Продажа",JavaScript-событие,0,user,0,совпадает,crmstat-sale
klinikaboli.ru,227620808,"Автоцель: клик по номеру телефона","клик по номеру телефона",0,auto,0
klinikaboli.ru,227620809,"Автоцель: отправка формы","отправка формы",0,auto,0
klinikaboli.ru,227806322,"Автоцель: поиск по сайту","поиск по сайту",0,auto,0
klinikaboli.ru,227883235,"Автоцель Jivo: автоприглашение в чат",JavaScript-событие,0,auto,0,совпадает,Jivo_Proactive_invitation_accepted
klinikaboli.ru,227892295,"Автоцель Jivo: запуск чата клиентом",JavaScript-событие,0,auto,0,совпадает,Jivo_Client_initiate_chat
klinikaboli.ru,227920652,"Автоцель Jivo: офлайн-сообщение",JavaScript-событие,0,auto,0,совпадает,Jivo_Offline_message_sent
klinikaboli.ru,228295413,"Автоцель: скачивание файла","скачивание файла",0,auto,0
port-sistema.ru,34983246,Звонок,звонок,1,auto,0
port-sistema.ru,201596512,"Уникальный звонок","целевой звонок",0,auto,0
port-sistema.ru,201596515,"Уникально-целевой звонок","целевой звонок",0,auto,0
port-sistema.ru,201596518,"Целевой звонок","целевой звонок",0,auto,0
port-sistema.ru,35395140,"Десктоп Форма1 - открытие","по URL страницы",0,user,0,содержит,/tilda/popup/rec39638482/opened
port-sistema.ru,90729154,"Десктоп Форма1 - отправка","по URL страницы",0,user,0,содержит,/tilda/form39638482/submitted
port-sistema.ru,90756340,"Моб Форма2","по URL страницы",0,user,0,содержит,/tilda/form170077730/submitted
port-sistema.ru,90756370,"Десктоп Форма3","по URL страницы",0,user,0,содержит,/tilda/form170078149/submitted
port-sistema.ru,90756397,"Моб Форма4","по URL страницы",0,user,0,содержит,/tilda/form170078346/submitted
port-sistema.ru,39556741,"Десктоп Форма5 - отправка","по URL страницы",0,user,0,содержит,/tilda/form48738868/submitted/
port-sistema.ru,90756553,"Моб Форма6","по URL страницы",0,user,0,содержит,/tilda/form170079134/submitted
port-sistema.ru,90756784,"Десктоп Форма7","по URL страницы",0,user,0,содержит,/tilda/form170079296/submitted
port-sistema.ru,90756808,"Моб Форма8","по URL страницы",0,user,0,содержит,/tilda/form170079631/submitted
port-sistema.ru,39556765,"Десктоп Форма9","по URL страницы",0,user,0,содержит,/tilda/form48738992/submitted/
port-sistema.ru,90756811,"Моб Форма10","по URL страницы",0,user,0,содержит,/tilda/form170080439/submitted
port-sistema.ru,39556834,"Десктоп Форма11","по URL страницы",0,user,0,содержит,/tilda/form48257003/submitted
port-sistema.ru,90756814,"Моб Форма12","по URL страницы",0,user,0,содержит,/tilda/form170082435/submitted
port-sistema.ru,35401725,"Десктоп Форма13 - открытие","по URL страницы",0,user,0,содержит,tilda/popup/rec39638528/opened
port-sistema.ru,35401404,"Десктоп Форма13 - отправка","по URL страницы",0,user,0,содержит,/tilda/form39638528/submitted
port-sistema.ru,90756922,"Моб Форма14","по URL страницы",0,user,0,содержит,/tilda/form170083258/submitted
port-sistema.ru,90756946,"Десктоп Форма15","по URL страницы",0,user,0,содержит,/tilda/form170083738/submitted
port-sistema.ru,90756949,"Моб Форма16","по URL страницы",0,user,0,содержит,/tilda/form170083747/submitted
port-sistema.ru,39556813,"#popup:comment - отправка формы","по URL страницы",0,user,0,содержит,/tilda/form39638522/submitted/
port-sistema.ru,35393652,"Не найден Нажатие кнопки Roistat",JavaScript-событие,0,user,0,совпадает,PressRoistat
port-sistema.ru,35401830,"Не найден #rec39638512 - отправка кнопки УСТАНОВКА","по URL страницы",0,user,0,содержит,tilda/form39638512/submitted/
port-sistema.ru,133312171,"Любая форма","по URL страницы",0,user,0,содержит,/submitted/
port-sistema.ru,220049047,"CRMstat: Лид",JavaScript-событие,0,user,0,совпадает,crmstat-lead
port-sistema.ru,220049050,"CRMstat: Продажа",JavaScript-событие,0,user,0,совпадает,crmstat-sale
port-sistema.ru,227765061,"Автоцель: отправка формы","отправка формы",0,auto,0
port-sistema.ru,228044282,"Автоцель Jivo: запуск чата клиентом",JavaScript-событие,0,auto,0,совпадает,Jivo_Client_initiate_chat
port-sistema.ru,228044283,"Автоцель Jivo: офлайн-сообщение",JavaScript-событие,0,auto,0,совпадает,Jivo_Offline_message_sent
port-sistema.ru,228248151,"Автоцель Jivo: автоприглашение в чат",JavaScript-событие,0,auto,0,совпадает,Jivo_Proactive_invitation_accepted
port-sistema.ru,228752202,"Автоцель: клик по номеру телефона","клик по номеру телефона",0,auto,0
endometryoz.ru,98624821,"Десктоп Хедер","по URL страницы",0,user,0,содержит,/tilda/form169704999/submitted
endometryoz.ru,201970867,"Уникальный звонок","целевой звонок",0,auto,0
endometryoz.ru,201970870,"Уникально-целевой звонок","целевой звонок",0,auto,0
endometryoz.ru,201970873,"Целевой звонок","целевой звонок",0,auto,0
endometryoz.ru,98624824,"Моб Хедер","по URL страницы",0,user,0,содержит,/tilda/form169705001/submitted
endometryoz.ru,98624827,"Десктоп Форма1","по URL страницы",0,user,0,содержит,/tilda/form169724398/submitted
endometryoz.ru,98624833,"Десктоп Форма2","по URL страницы",0,user,0,содержит,/tilda/form169725019/submitted
endometryoz.ru,98625052,"Моб Форма3","по URL страницы",0,user,0,содержит,/tilda/form169725157/submitted
endometryoz.ru,98625058,"Моб Форма4","по URL страницы",0,user,0,содержит,/tilda/form169725261/submitted
endometryoz.ru,98625091,"Десктоп Форма5","по URL страницы",0,user,0,содержит,/tilda/form164448755/submitted
endometryoz.ru,98625121,"Моб Форма6","по URL страницы",0,user,0,содержит,/tilda/form169708809/submitted
endometryoz.ru,98625124,"Десктоп Форма7","по URL страницы",0,user,0,содержит,/tilda/form165005510/submitted
endometryoz.ru,98625127,"Моб Форма8","по URL страницы",0,user,0,содержит,/tilda/form169708527/submitted
endometryoz.ru,98625130,"Десктоп Форма9","по URL страницы",0,user,0,содержит,/tilda/form169726567/submitted
endometryoz.ru,98625157,"Десктоп Форма11","по URL страницы",0,user,0,содержит,/tilda/form165021593/submitted
endometryoz.ru,98625247,"Моб Форма12","по URL страницы",0,user,0,содержит,/tilda/form169708337/submitted
endometryoz.ru,98625253,"Десктоп Форма13","по URL страницы",0,user,0,содержит,/tilda/form169729768/submitted
